,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
86,0.0,Tue Mar 27 04:09:38 +0000 2018,0.0,1.0,0.0,nytimes,"Despite Concerns, Census Will Ask Respondents if They Are U.S. Citizens https://t.co/DvsNaOwgfr"
87,-0.5267,Tue Mar 27 04:02:01 +0000 2018,0.246,0.658,0.096,nytimes,A new EPA policy proposal championed by Scott Pruitt would severely restrict the scientific research the agency can… https://t.co/gSQiVxJlT2
88,0.5423,Tue Mar 27 03:47:05 +0000 2018,0.06,0.653,0.286,nytimes,New Orleans Saints cheerleaders have to leave a restaurant if a player comes in. A cheerleader is challenging such… https://t.co/R7WrFuUp0z
89,-0.3182,Tue Mar 27 03:32:04 +0000 2018,0.103,0.897,0.0,nytimes,"Uber was ordered to suspend testing of its autonomous vehicles on Arizona roads, 8 days after one of its cars struc… https://t.co/MsnkgMhRco"
90,0.1531,Tue Mar 27 03:17:03 +0000 2018,0.074,0.826,0.099,nytimes,"RT @NYTMetro: Federal authorities charged Keith Raniere, the head of the Albany-area group Nxivm, with forcing women to engage in sex. http…"
91,0.0,Tue Mar 27 03:02:05 +0000 2018,0.0,1.0,0.0,nytimes,The “60 Minutes” interview of Stormy Daniels garnered the highest ratings for the program in almost a decade https://t.co/vZoIYm3ugi
92,0.296,Tue Mar 27 02:47:05 +0000 2018,0.0,0.814,0.186,nytimes,"Medical societies and leading neurologists strongly endorse a treatment for stroke, but some ER physicians believe… https://t.co/v9BzB78wi1"
93,-0.6908,Tue Mar 27 02:32:02 +0000 2018,0.241,0.759,0.0,nytimes,The Stormy Daniels saga and White House turmoil: Some Republicans fear that the midterm elections will be swayed by… https://t.co/VV8P6AYboK
94,-0.0757,Tue Mar 27 02:17:02 +0000 2018,0.117,0.779,0.104,nytimes,RT @NYTScience: There's an 8.5-ton space station that will crash on Earth somewhere in the next week. Don't worry. https://t.co/x5r8BsFXpz
95,-0.5267,Tue Mar 27 02:02:03 +0000 2018,0.212,0.707,0.082,nytimes,"Can Defense Secretary Jim Mattis hold the line in President Trump’s ""war cabinet""? https://t.co/28JV7ODldJ https://t.co/5QMTVB2715"
96,0.0,Tue Mar 27 01:47:02 +0000 2018,0.0,1.0,0.0,nytimes,"Tess will spend the next 2 years, at least, scanning the sky for alien worlds https://t.co/uqiiZ7TKcT"
97,-0.1027,Tue Mar 27 01:31:03 +0000 2018,0.102,0.772,0.126,nytimes,We have resolved an issue that caused some links to return a page not found on mobile devices. We apologize for the inconvenience.
98,0.2732,Tue Mar 27 01:21:03 +0000 2018,0.0,0.896,0.104,nytimes,RT @nytopinion: E.P.A Administrator Scott Pruitt wants to prohibit his agency from using certain peer-reviewed scientific studies in order…
99,0.0,Tue Mar 27 01:02:07 +0000 2018,0.0,1.0,0.0,nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/PGHd4PlLBN
