,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
57,0.4404,Sun Mar 04 08:05:26 +0000 2018,0.0,0.884,0.116,CBS,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…"
58,0.0,Sat Mar 03 20:55:20 +0000 2018,0.0,1.0,0.0,CBS,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…"
59,0.7096,Fri Mar 02 22:30:01 +0000 2018,0.0,0.753,0.247,CBS,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes"
60,0.7096,Fri Mar 02 20:30:01 +0000 2018,0.0,0.718,0.282,CBS,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3"
61,0.4939,Fri Mar 02 18:45:00 +0000 2018,0.0,0.849,0.151,CBS,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO"
62,-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.21,0.79,0.0,CBS,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY
63,0.4547,Thu Mar 01 18:12:57 +0000 2018,0.092,0.749,0.159,CBS,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…"
64,0.8591,Thu Mar 01 18:11:50 +0000 2018,0.0,0.462,0.538,CBS,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF
65,0.4885,Thu Mar 01 18:10:50 +0000 2018,0.151,0.615,0.234,CBS,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…
66,0.5994,Thu Mar 01 14:36:21 +0000 2018,0.0,0.822,0.178,CBS,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…"
67,0.7717,Thu Mar 01 14:29:20 +0000 2018,0.0,0.675,0.325,CBS,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…"
